23.1383 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

60.9082 	WARNING 	t of last frame was 37770.09ms (=1/0)
61.0799 	WARNING 	t of last frame was 22.04ms (=1/45)
61.2042 	WARNING 	t of last frame was 24.39ms (=1/40)
61.3601 	WARNING 	t of last frame was 22.70ms (=1/44)
61.5006 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
62.5334 	EXP 	window1: recordFrameIntervals = False
62.7103 	EXP 	window1: recordFrameIntervals = True
62.8516 	DEBUG 	Screen (0) actual frame rate measured at 60.16
62.8517 	EXP 	window1: recordFrameIntervals = True
62.8597 	DEBUG 	Entered instructions class.
63.0570 	EXP 	Created paragraph_text = TextStim(alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='FangSong', fontFiles=[], height=0.1, italic=False, name='paragraph_text', opacity=1.0, ori=0, pos=array([-0.8,  0. ]), rgb=array([-1., -1., -1.]), text='', units=u'norm', win=Window(...), wrapWidth=1.6)
63.0860 	EXP 	Created left_arrow = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', interpolate=True, lineColor=None, lineColorSpace='rgb', lineWidth=1.5, name='left_arrow', opacity=1.0, ori=array(135.0), pos=array([-1., -1.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...), windingRule=None)
63.0882 	EXP 	Created right_arrow = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', interpolate=True, lineColor=None, lineColorSpace='rgb', lineWidth=1.5, name='right_arrow', opacity=1.0, ori=array(45.0), pos=array([ 1., -1.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...), windingRule=None)
63.1112 	EXP 	Created press_img_left = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=True, flipVert=False, image=unicode(...), interpolate=True, mask=None, maskParams=None, name='press_img_left', opacity=1.0, ori=0.0, pos=array([-0.65, -0.55]), size=array([ 0.140625,  0.25    ]), texRes=128, units=u'norm', win=Window(...))
63.1277 	EXP 	Created press_img_right = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=unicode(...), interpolate=True, mask=None, maskParams=None, name='press_img_right', opacity=1.0, ori=0.0, pos=array([ 0.65, -0.55]), size=array([ 0.140625,  0.25    ]), texRes=128, units=u'norm', win=Window(...))
63.1290 	EXP 	Created message = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='FangSong', fontFiles=[], height=0.25, italic=False, name='message', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([-1., -1., -1.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
